Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI,,,,,,,,,,,,,,,,,,,,,,,
,,"38.11698, 15.07965",Falcone,http://www.geonames.org/2524801/falcone.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.78622, 14.9053",Ispica,http://www.geonames.org/2524493/ispica.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.592762, 13.917678",Montagna di Balate,http://pleiades.stoa.org/places/462109,,,,,,,,,,,,,,,,,,,,,,,
,,"37.687063, 13.140947",Monte Adranone,http://pleiades.stoa.org/places/462073,,,,,,,,,,,,,,,,,,,,,,,
,,"37.7569858, 14.1735113",Monte Alburchia di Gangi,http://pleiades.stoa.org/places/462327,,,,,,,,,,,,,,,,,,,,,,,
,,"37.66667, 14.28333",Monte Artesino di Nicosia,http://pleiades.stoa.org/places/462328,,,,,,,,,,,,,,,,,,,,,,,
,,"36.89244, 15.06977",Noto,http://www.geonames.org/2523998/noto.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.32955, 14.74474",Palagonia,http://www.geonames.org/2523927/palagonia.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.06261, 14.90593",Palazzolo Acreide,http://www.geonames.org/2523922/palazzolo-acreide.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.7268, 12.88917",Partanna,http://www.geonames.org/2523872/partanna.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.76404, 13.03594",Poggioreale,http://www.geonames.org/2523747/nuovo-centro-urbano-poggioreale.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.26659, 13.96834",Ravanusa,http://www.geonames.org/2523638/ravanusa.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.82145, 14.95132",Rosolini,http://www.geonames.org/2523581/rosolini.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.82842, 14.52538",Santa Croce di Camarina,http://www.geonames.org/2523362/santa-croce-camerina.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.61684, 14.89337",Santa Maria di Licodia,http://www.geonames.org/2523320/santa-maria-di-licodia.html,,,,,,,,,,,,,,,,,,,,,,,
