Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI
,,"37.97331, 13.18889",San Giuseppe Jato,http://sws.geonames.org/2523451/
,http://pleiades.stoa.org/places/880325202,"38.067859, 14.632672",Sant'Agata di Militello,
,,"36.82842, 14.52538",Santa Croce di Camarina,http://sws.geonames.org/2523362/
,,"38.08505, 13.53505",Santa Flavia,http://sws.geonames.org/6541960/
,,"37.61684, 14.89337",Santa Maria di Licodia,http://sws.geonames.org/2523320/
,,"37.62606, 13.48976",Santo Stefano Quisquina,http://sws.geonames.org/2523247/
,http://pleiades.stoa.org/places/462485,"36.79014, 14.7028",Scicli,
,,"37.29548, 14.84058",Scordia,http://sws.geonames.org/2523180/
,,"38.07396, 13.5385",Solanto,http://sws.geonames.org/8951582/
,https://pleiades.stoa.org/places/462509,"37.59115, 14.03627",Terravecchia di Cuti (S. Caterina Villarmosa),https://sws.geonames.org/6539182/
,https://pleiades.stoa.org/places/462510,"37.214706, 14.636362",Terravecchia di Grammichele,https://sws.geonames.org/2524583/
,,"36.96151, 14.9736",Testa dell'Acqua (Mezzo Gregorio),http://sws.geonames.org/2522942/
,,"38.12539, 15.11348",Tonnarella,http://sws.geonames.org/6604722/
,,"38.04673, 15.0967",Tripi,http://sws.geonames.org/2522853/
,,"37.82371, 13.56889",Vicari,http://sws.geonames.org/2522774/
,,"36.95151, 14.52788",Vittoria,http://sws.geonames.org/2522713/
